,,,,2016小学校,,,,,,,,,,,,,,,,
,,,,2016小学校!AK:AK,,,,,,,,,38,39,40,41,42,43,44,45
key1,key2,school_type,year,qes_final,adhoc_year_target,adhoc_year_answer,adhoc_grade,adhoc_subject,adhoc_category,adhoc_explanation1,adhoc_explanation2,adhoc_answer,year_target,year_answer,grade,subject,category,explanation1,explanation2,answer
質問1,問1.1,小学校,2016,4,,,,,,,,,2015,2016,all,,0,１　学校について、当てはまるものを選んでください。,２８年度の全校児童数（調査日現在）,２８年度の全校児童数（調査日現在）;数値入力
質問2,問1.2.ア １年-国語,小学校,2016,6,,,1,国語,,,次の教科等の年間実施授業時数を入力してください,,2015,2016,1,国語,0,１　学校について、当てはまるものを選んでください。,次の教科等の年間実施授業時数を入力してください,１年;数値入力;数値入力;数値入力;数値入力;数値入力;数値入力
質問3,問1.2.ア １年-算数,小学校,2016,6,,,1,算数,,,次の教科等の年間実施授業時数を入力してください,,2015,2016,1,算数,0,１　学校について、当てはまるものを選んでください。,次の教科等の年間実施授業時数を入力してください,１年;数値入力;数値入力;数値入力;数値入力;数値入力;数値入力
質問4,問1.2.ア １年-特別活動（学級活動）,小学校,2016,6,,,1,特別活動（学級活動）,,,次の教科等の年間実施授業時数を入力してください,,2015,2016,1,特別活動（学級活動）,0,１　学校について、当てはまるものを選んでください。,次の教科等の年間実施授業時数を入力してください,１年;数値入力;数値入力;数値入力;数値入力;数値入力;数値入力
質問5,問1.2.ア １年-特別活動（クラブ活動）,小学校,2016,6,,,1,特別活動（クラブ活動）,,,次の教科等の年間実施授業時数を入力してください,,2015,2016,1,特別活動（クラブ活動）,0,１　学校について、当てはまるものを選んでください。,次の教科等の年間実施授業時数を入力してください,１年;数値入力;数値入力;数値入力;数値入力;数値入力;数値入力
質問6,問1.2.ア １年-特別活動（児童会活動）,小学校,2016,6,,,1,特別活動（児童会活動）,,,次の教科等の年間実施授業時数を入力してください,,2015,2016,1,特別活動（児童会活動）,0,１　学校について、当てはまるものを選んでください。,次の教科等の年間実施授業時数を入力してください,１年;数値入力;数値入力;数値入力;数値入力;数値入力;数値入力
質問7,問1.2.ア １年-特別活動（学校行事）,小学校,2016,6,,,1,特別活動（学校行事）,,,次の教科等の年間実施授業時数を入力してください,,2015,2016,1,特別活動（学校行事）,0,１　学校について、当てはまるものを選んでください。,次の教科等の年間実施授業時数を入力してください,１年;数値入力;数値入力;数値入力;数値入力;数値入力;数値入力
