カラム名2,大項目,中項目,H30項目タイトル,小4,小5,小6,中1,中2,中3,,,,,
q138,あなた自身,,あなたの生まれた月はいつですか,Q00000001031,Q00000002051,Q00000002951,Q00000003811,Q00000004781,Q00000005801,,,,,
q138,,,あなたの生まれた月はいつですか,Q00000001032,Q00000002052,Q00000002952,Q00000003812,Q00000004782,Q00000005802,,お手手,,,
q138,,,あなたの生まれた月はいつですか,Q00000001033,Q00000002053,Q00000002953,Q00000003813,Q00000004783,Q00000005803,,お手手,,,
q1,勉強について,,勉強することが楽しい，好きだから,Q00000000010,Q00000001050,Q00000002070,Q00000002970,Q00000003830,Q00000004800,,,,,
q2,,,将来の進学や就職の役に立つから,Q00000000020,Q00000001060,Q00000002080,Q00000002980,Q00000003840,Q00000004810,,,,,
q3,,,先生や家の人にほめられたいから,Q00000000030,Q00000001070,Q00000002090,Q00000002990,Q00000003850,Q00000004820,,,,,
q192,,,学校の友達に認められたいから,Q00000000040,Q00000001080,Q00000002100,Q00000003000,Q00000003860,Q00000004830,,,,,
q4,学習方略すべて,柔軟的方略,勉強のやり方が，自分に合っているかどうかを考えながら勉強する,Q00000000170,Q00000001210,Q00000002230,Q00000003130,Q00000003990,Q00000004960,,,,,
q5,(2),,勉強でわからないところがあったら，勉強のやり方をいろいろ変えてみる,Q00000000070,Q00000001110,Q00000002130,Q00000003030,Q00000003890,Q00000004860,,,,,
q6,低いほど良い,,勉強しているときに，やった内容を覚えているかどうかを確かめる,Q00000000150,Q00000001190,Q00000002210,Q00000003110,Q00000003970,Q00000004940,,,,,
q7,,,勉強する前に，これから何を勉強しなければならないかについて考える,Q00000000200,Q00000001240,Q00000002260,Q00000003160,Q00000004020,Q00000004990,,,,,
q8,,,,,,,,,,,,,,
q9,,,,,,,,,,,,,,
q10,,,,,,,,,,,,,,
q11,,,,,,,,,,,,,,
q12,,プランニング方略,勉強するときは，最初に計画を立ててから始める,Q00000000190,Q00000001230,Q00000002250,Q00000003150,Q00000004010,Q00000004980,,,,,
q13,,,勉強をしているときに，やっていることが正しくできているかどうかを確かめる,Q00000000240,Q00000001280,Q00000002300,Q00000003200,Q00000004060,Q00000005030,,,,,
q14,,,勉強するときは，自分で決めた計画に沿って行う,Q00000000250,Q00000001290,Q00000002310,Q00000003210,Q00000004070,Q00000005040,,,,,
q15,,,勉強しているとき，たまに止まって，一度やったところを見直す,Q00000000130,Q00000001170,Q00000002190,Q00000003090,Q00000003950,Q00000004920,,,,,
q16,,,,,,,,,,,,,,
q17,,,,,,,,,,,,,,
q18,,作業方略,勉強するときは，参考書や事典などがすぐ使えるように準備しておく,Q00000000050,Q00000001090,Q00000002110,Q00000003010,Q00000003870,Q00000004840,,,,,
q19,,,勉強する前に，勉強に必要な本などを用意してから勉強するようにしている,Q00000000220,Q00000001260,Q00000002280,Q00000003180,Q00000004040,Q00000005010,,,,,
q20,,,勉強していて大切だと思ったところは，言われなくてもノートにまとめる,Q00000000180,Q00000001220,Q00000002240,Q00000003140,Q00000004000,Q00000004970,,,,,
q21,,,勉強で大切なところは，繰り返して書くなどして覚える,Q00000000280,Q00000001320,Q00000002340,Q00000003240,Q00000004100,Q00000005070,,,,,
q22,,,,,,,,,,,,,,
q23,,,,,,,,,,,,,,
q24,,人的リソース方略,勉強でわからないところがあったら，友達にその答えをきく,Q00000000160,Q00000001200,Q00000002220,Q00000003120,Q00000003980,Q00000004950,,,,,
q25,,,勉強でわからないところがあったら，友達に勉強のやり方をきく,Q00000000210,Q00000001250,Q00000002270,Q00000003170,Q00000004030,Q00000005000,,,,,
q26,,,勉強のできる友達と，同じやり方で勉強する,Q00000000230,Q00000001270,Q00000002290,Q00000003190,Q00000004050,Q00000005020,,,,,
q27,,,勉強するときは，最後に友達と答え合わせをするようにする,Q00000000060,Q00000001100,Q00000002120,Q00000003020,Q00000003880,Q00000004850,,,,,
q28,,認知的方略,勉強するときは，内容を頭に思い浮かべながら考える,Q00000000140,Q00000001180,Q00000002200,Q00000003100,Q00000003960,Q00000004930,,,,,
q29,,,勉強をするときは，内容を自分の知っている言葉で理解するようにする,Q00000000270,Q00000001310,Q00000002330,Q00000003230,Q00000004090,Q00000005060,,,,,
